1: 24.10.2014.19.2.38.227
#BESTUTMA,COM1,0,60.0,FINESTEERING,1815,493264.200,00000000,eb16,6988;SOL_COMPUTED,PSRDIFF,30,T,4467786.4945,434255.7814,666.3369,52.1000,WGS84,3.0194,2.2322,5.2662,"0",224.400,0.000,17,13,0,0,0,08,0,01*1143395b
37: 24.10.2014.19.2.40.101
#BESTVELA,COM1,0,60.0,FINESTEERING,1815,493264.400,00000000,827b,6988;SOL_COMPUTED,PSRDIFF,0.150,224.600,0.0177,201.627155,-0.0187,0.0*d6ec25a7
38: 24.10.2014.19.2.40.197
#BESTUTMA,COM1,0,60.0,FINESTEERING,1815,493264.400,00000000,eb16,6988;SOL_COMPUTED,PSRDIFF,30,T,4467786.4845,434255.7764,666.3426,52.1000,WGS84,3.0242,2.2357,5.2745,"0",224.600,0.000,18,13,0,0,0,08,0,01*d0491287
39: 24.10.2014.19.2.40.308
#BESTVELA,COM1,0,60.0,FINESTEERING,1815,493264.600,00000000,827b,6988;SOL_COMPUTED,PSRDIFF,0.150,224.800,0.0432,177.385404,0.0330,0.0*50b69003
40: 24.10.2014.19.2.40.404
#BESTUTMA,COM1,0,60.0,FINESTEERING,1815,493264.600,00000000,eb16,6988;SOL_COMPUTED,PSRDIFF,30,T,4467786.4854,434255.7740,666.3410,52.1000,WGS84,3.0289,2.2395,5.2827,"0",224.800,0.000,18,13,0,0,0,08,0,01*b03b31b8
41: 24.10.2014.19.2.40.515
#BESTVELA,COM1,0,60.0,FINESTEERING,1815,493264.800,00000000,827b,6988;SOL_COMPUTED,PSRDIFF,0.150,225.000,0.0112,88.663194,-0.0475,0.0*cbb2650c
42: 24.10.2014.19.2.40.595
#BESTUTMA,COM1,0,60.0,FINESTEERING,1815,493264.800,00000000,eb16,6988;SOL_COMPUTED,PSRDIFF,30,T,4467786.4952,434255.7739,666.3368,52.1000,WGS84,3.0335,2.2429,5.2909,"0",225.000,0.000,18,13,0,0,0,08,0,01*a645c963
43: 24.10.2014.19.2.40.707
#BESTVELA,COM1,0,61.0,FINESTEERING,1815,493265.000,00000000,827b,6988;SOL_COMPUTED,PSRDIFF,0.150,225.200,0.0162,144.533056,-0.0170,0.0*ce8e1007
44: 24.10.2014.19.2.40.802
#BESTUTMA,COM1,0,61.0,FINESTEERING,1815,493265.000,00000000,eb16,6988;SOL_COMPUTED,PSRDIFF,30,T,4467786.5123,434255.7622,666.3413,52.1000,WGS84,3.0378,2.2457,5.2992,"0",225.200,0.000,17,13,0,0,0,08,0,01*5799e048
45: 24.10.2014.19.2.40.914
#BESTVELA,COM1,0,61.0,FINESTEERING,1815,493265.200,00000000,827b,6988;SOL_COMPUTED,PSRDIFF,0.150,225.400,0.0052,109.708457,0.0023,0.0*e0323a51
46: 24.10.2014.19.2.40.993
#BESTUTMA,COM1,0,61.0,FINESTEERING,1815,493265.200,00000000,eb16,6988;SOL_COMPUTED,PSRDIFF,30,T,4467786.5035,434255.7600,666.3350,52.1000,WGS84,3.0423,2.2490,5.3074,"0",225.400,0.000,18,13,0,0,0,08,0,01*30f59a29
47: 24.10.2014.19.2.41.105
#BESTVELA,COM1,0,61.0,FINESTEERING,1815,493265.400,00000000,827b,6988;SOL_COMPUTED,PSRDIFF,0.150,225.600,0.0159,168.564121,-0.0234,0.0*b0c42a49
48: 24.10.2014.19.2.41.201
#BESTUTMA,COM1,0,61.0,FINESTEERING,1815,493265.400,00000000,eb16,6988;SOL_COMPUTED,PSRDIFF,30,T,4467786.5053,434255.7493,666.3338,52.1000,WGS84,3.0471,2.2529,5.3156,"0",225.600,0.000,17,13,0,0,0,08,0,01*bd83a4e9
49: 24.10.2014.19.2.41.312
#BESTVELA,COM1,0,61.0,FINESTEERING,1815,493265.600,00000000,827b,6988;SOL_COMPUTED,PSRDIFF,0.150,225.800,0.0092,114.733476,-0.0080,0.0*24e00803
50: 24.10.2014.19.2.41.392
#BESTUTMA,COM1,0,61.0,FINESTEERING,1815,493265.600,00000000,eb16,6988;SOL_COMPUTED,PSRDIFF,30,T,4467786.5021,434255.7555,666.3294,52.1000,WGS84,3.0518,2.2563,5.3239,"0",225.800,0.000,17,13,0,0,0,08,0,01*33b3761f
51: 24.10.2014.19.2.41.504
#BESTVELA,COM1,0,60.0,FINESTEERING,1815,493265.800,00000000,827b,6988;SOL_COMPUTED,PSRDIFF,0.150,226.000,0.0126,295.441208,0.0259,0.0*0e99fe31
52: 24.10.2014.19.2.41.599
#BESTUTMA,COM1,0,60.0,FINESTEERING,1815,493265.800,00000000,eb16,6988;SOL_COMPUTED,PSRDIFF,30,T,4467786.5073,434255.7468,666.3267,52.1000,WGS84,3.0564,2.2597,5.3322,"0",226.000,0.000,17,13,0,0,0,08,0,01*53a4748c
53: 24.10.2014.19.2.41.711
#BESTVELA,COM1,0,60.0,FINESTEERING,1815,493266.000,00000000,827b,6988;SOL_COMPUTED,PSRDIFF,0.150,226.200,0.0156,153.830488,-0.0081,0.0*bdb6012f
54: 24.10.2014.19.2.41.806
#BESTUTMA,COM1,0,60.0,FINESTEERING,1815,493266.000,00000000,eb16,6988;SOL_COMPUTED,PSRDIFF,30,T,4467786.5043,434255.7460,666.3175,52.1000,WGS84,3.0617,2.2643,5.3405,"0",226.200,0.000,17,13,0,0,0,08,0,01*3e7ccae0
55: 24.10.2014.19.2.41.918
#BESTVELA,COM1,0,60.0,FINESTEERING,1815,493266.200,00000000,827b,6988;SOL_COMPUTED,PSRDIFF,0.150,226.400,0.0551,27.948940,-0.0468,0.0*32c3b3f2
56: 24.10.2014.19.2.41.998
#BESTUTMA,COM1,0,60.0,FINESTEERING,1815,493266.200,00000000,eb16,6988;SOL_COMPUTED,PSRDIFF,30,T,4467786.5002,434255.7518,666.3062,52.1000,WGS84,3.0665,2.2680,5.3489,"0",226.400,0.000,16,13,0,0,0,08,0,01*54ad07b8
57: 24.10.2014.19.2.42.109
#BESTVELA,COM1,0,60.0,FINESTEERING,1815,493266.400,00000000,827b,6988;SOL_COMPUTED,PSRDIFF,0.150,226.600,0.0046,185.209264,-0.0101,0.0*77e4bd6a
58: 24.10.2014.19.2.42.205
#BESTUTMA,COM1,0,60.0,FINESTEERING,1815,493266.400,00000000,eb16,6988;SOL_COMPUTED,PSRDIFF,30,T,4467786.4964,434255.7562,666.3040,52.1000,WGS84,3.0709,2.2711,5.3571,"0",226.600,0.000,16,13,0,0,0,08,0,01*1068f83c
59: 24.10.2014.19.2.42.316
#BESTVELA,COM1,0,60.0,FINESTEERING,1815,493266.600,00000000,827b,6988;SOL_COMPUTED,PSRDIFF,0.150,226.800,0.0146,241.325105,0.0007,0.0*7ec8067b
60: 24.10.2014.19.2.42.396
#BESTUTMA,COM1,0,60.0,FINESTEERING,1815,493266.600,00000000,eb16,6988;SOL_COMPUTED,PSRDIFF,30,T,4467786.2776,434255.9984,666.1956,52.1000,WGS84,3.1045,2.3246,5.3691,"0",226.800,0.000,16,12,0,0,0,08,0,01*fa6ec101
61: 24.10.2014.19.2.42.508
#BESTVELA,COM1,0,60.0,FINESTEERING,1815,493266.800,00000000,827b,6988;SOL_COMPUTED,PSRDIFF,0.150,227.000,0.0258,26.938731,-0.0239,0.0*cc6fe8f3
62: 24.10.2014.19.2.42.603
#BESTUTMA,COM1,0,60.0,FINESTEERING,1815,493266.800,00000000,eb16,6988;SOL_COMPUTED,PSRDIFF,30,T,4467786.4882,434255.7696,666.2923,52.1000,WGS84,3.0803,2.2784,5.3736,"0",227.000,0.000,17,13,0,0,0,08,0,01*775016c4
63: 24.10.2014.19.2.42.715
#BESTVELA,COM1,0,55.5,FINESTEERING,1815,493267.000,00000000,827b,6988;SOL_COMPUTED,PSRDIFF,0.150,227.200,0.0333,186.279871,0.0205,0.0*f63fa79c
64: 24.10.2014.19.2.42.794
#BESTUTMA,COM1,0,55.5,FINESTEERING,1815,493267.000,00000000,eb16,6988;SOL_COMPUTED,PSRDIFF,30,T,4467786.4975,434255.7561,666.2972,52.1000,WGS84,3.0847,2.2816,5.3819,"0",227.200,0.000,18,13,0,0,0,08,0,01*ce97afa1
65: 24.10.2014.19.2.42.906
#BESTVELA,COM1,0,55.5,FINESTEERING,1815,493267.200,00000000,827b,6988;SOL_COMPUTED,PSRDIFF,0.150,227.400,0.0335,127.670474,0.0081,0.0*05346333
66: 24.10.2014.19.2.43.2
#BESTUTMA,COM1,0,55.5,FINESTEERING,1815,493267.200,00000000,eb16,6988;SOL_COMPUTED,PSRDIFF,30,T,4467786.4884,434255.7510,666.3115,52.1000,WGS84,3.0890,2.2843,5.3901,"0",227.400,0.000,18,13,0,0,0,08,0,01*4980d056
67: 24.10.2014.19.2.43.113
#BESTVELA,COM1,0,55.5,FINESTEERING,1815,493267.400,00000000,827b,6988;SOL_COMPUTED,PSRDIFF,0.150,227.600,0.0268,203.516038,-0.0195,0.0*5d12a7f3
68: 24.10.2014.19.2.43.193
#BESTUTMA,COM1,0,55.5,FINESTEERING,1815,493267.400,00000000,eb16,6988;SOL_COMPUTED,PSRDIFF,30,T,4467786.4806,434255.7519,666.3177,52.1000,WGS84,3.0953,2.2907,5.3987,"0",227.600,0.000,18,13,0,0,0,08,0,01*91316f33
69: 24.10.2014.19.2.43.305
#BESTVELA,COM1,0,55.5,FINESTEERING,1815,493267.600,00000000,827b,6988;SOL_COMPUTED,PSRDIFF,0.150,227.800,0.0088,358.870236,0.0217,0.0*582a66ca
70: 24.10.2014.19.2.43.401
#BESTUTMA,COM1,0,55.5,FINESTEERING,1815,493267.600,00000000,eb16,6988;SOL_COMPUTED,PSRDIFF,30,T,4467786.4876,434255.7355,666.3292,52.1000,WGS84,3.0988,2.2921,5.4069,"0",227.800,0.000,17,13,0,0,0,08,0,01*7654c928
71: 24.10.2014.19.2.43.513
#BESTVELA,COM1,0,55.5,FINESTEERING,1815,493267.800,00000000,827b,6988;SOL_COMPUTED,PSRDIFF,0.150,228.000,0.0142,170.609046,-0.0084,0.0*2d73791f
72: 24.10.2014.19.2.43.592
#BESTUTMA,COM1,0,55.5,FINESTEERING,1815,493267.800,00000000,eb16,6988;SOL_COMPUTED,PSRDIFF,30,T,4467786.2687,434255.9791,666.2237,52.1000,WGS84,3.1327,2.3459,5.4191,"0",228.000,0.000,17,12,0,0,0,08,0,01*98e7bd20
73: 24.10.2014.19.2.43.704
#BESTVELA,COM1,0,55.5,FINESTEERING,1815,493268.000,00000000,827b,6988;SOL_COMPUTED,PSRDIFF,0.150,228.200,0.0354,349.644897,-0.0058,0.0*542a1f13
74: 24.10.2014.19.2.43.800
#BESTUTMA,COM1,0,55.5,FINESTEERING,1815,493268.000,00000000,eb16,6988;SOL_COMPUTED,PSRDIFF,30,T,4467786.4921,434255.7226,666.3400,52.1000,WGS84,3.1085,2.2996,5.4237,"0",228.200,0.000,17,13,0,0,0,08,0,01*ded7e611
75: 24.10.2014.19.2.43.911
#BESTVELA,COM1,0,56.5,FINESTEERING,1815,493268.200,00000000,827b,6988;SOL_COMPUTED,PSRDIFF,0.150,228.400,0.0217,329.366807,-0.0416,0.0*1b7b1b4d
76: 24.10.2014.19.2.43.991
#BESTUTMA,COM1,0,56.5,FINESTEERING,1815,493268.200,00000000,eb16,6988;SOL_COMPUTED,PSRDIFF,30,T,4467786.4943,434255.7143,666.3461,52.1000,WGS84,3.1128,2.3024,5.4319,"0",228.400,0.000,17,13,0,0,0,08,0,01*67d8cadd
77: 24.10.2014.19.2.44.103
#BESTVELA,COM1,0,56.5,FINESTEERING,1815,493268.400,00000000,827b,6988;SOL_COMPUTED,PSRDIFF,0.150,228.600,0.0060,266.703905,-0.0227,0.0*68789264
78: 24.10.2014.19.2.44.198
#BESTUTMA,COM1,0,56.5,FINESTEERING,1815,493268.400,00000000,eb16,6988;SOL_COMPUTED,PSRDIFF,30,T,4467786.4968,434255.7081,666.3562,52.1000,WGS84,3.1173,2.3057,5.4403,"0",228.600,0.000,17,13,0,0,0,08,0,01*d285241e
79: 24.10.2014.19.2.44.310
#BESTVELA,COM1,0,56.5,FINESTEERING,1815,493268.600,00000000,827b,6988;SOL_COMPUTED,PSRDIFF,0.150,228.800,0.0185,89.304194,-0.0101,0.0*c400ae70
80: 24.10.2014.19.2.44.405
#BESTUTMA,COM1,0,56.5,FINESTEERING,1815,493268.600,00000000,eb16,6988;SOL_COMPUTED,PSRDIFF,30,T,4467786.4820,434255.7118,666.3576,52.1000,WGS84,3.1231,2.3110,5.4488,"0",228.800,0.000,17,13,0,0,0,08,0,01*1d7d7fe1
81: 24.10.2014.19.2.44.501
#BESTVELA,COM1,0,56.5,FINESTEERING,1815,493268.800,00000000,827b,6988;SOL_COMPUTED,PSRDIFF,0.150,229.000,0.0263,280.918744,0.0206,0.0*4e6e52b4
82: 24.10.2014.19.2.44.597
